Station Name,Country,County,Operator,Visited,Visit Date,Favorite,Latitude,Longitude,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,201,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
Abbey Wood,England,London (City Of),Elizabeth Line,No,,,51.49106056,0.121394025,,"7,118,664","2,638,456","1,412,638","3,825,206","3,769,402","3,124,850","2,988,802","2,929,472","3,319,408","3,282,240","3,175,430","3,134,250","3,030,212","2,882,868","3,029,176","3,096,498","2,804,493","2,089,975","2,201,541",n/a,"2,425,400","2,400,216","2,443,651","2,355,943","2,284,585","2,060,584"
Aber,Wales,Caerffili - Caerphilly,Transport for Wales,No,,,51.57496911,-3.229829051,,"103,976","73,642","15,712","228,480","245,218","251,108","227,270","214,996","212,546","219,868","209,622","203,432","202,486","192,788","192,180","183,136","169,463","136,549","134,191",n/a,"134,397","115,667","115,079","112,812","87,910","88,714"
Abercynon,Wales,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",Transport for Wales,No,,,51.6447124,-3.326988552,,"134,880","105,822","33,006","282,886","289,008","298,358","293,638","275,404","265,458","251,688","243,948","240,070","214,492","195,702","194,164",N/A,N/A,N/A,N/A,n/a,N/A,N/A,N/A,N/A,N/A,N/A
Aberdare,Wales,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",Transport for Wales,No,,,51.71506183,-3.443084095,,"226,714","177,350","53,668","504,622","555,780","571,746","569,364","566,904","551,928","557,992","552,436","537,542","524,592","507,820","506,004","471,586","469,086","465,675","464,026",n/a,"331,006","302,859","260,244","219,986","178,680","158,945"
Aberdeen,Scotland,Aberdeen City,ScotRail,No,,,57.14370583,-2.098685386,,"1,961,414","1,536,720","393,982","2,497,108","2,616,142","2,948,150","3,058,268","3,459,944","3,742,646","3,599,431","3,338,072","3,170,464","2,964,302","2,657,014","2,568,810","2,470,281","2,278,872","2,107,855","1,931,973",n/a,"1,761,041","1,762,708","1,607,702","1,609,251","1,590,804","1,550,570"
Aberdour,Scotland,Fife,ScotRail,No,,,56.05459557,-3.300560615,,"78,952","62,990","14,726","126,340","140,048","135,240","125,208","127,312","129,474","127,470","124,298","126,000","129,786","131,874","128,074","121,724","120,420","109,580","112,941",n/a,"96,376","95,850","103,545","95,220","87,940","78,964"
Aberdovey,Wales,Gwynedd - Gwynedd,Transport for Wales,No,,,52.5439615,-4.057067962,,"34,208","22,886","5,396","36,560","40,390","37,706","35,960","38,094","36,684","34,450","33,612","36,696","32,190","27,996","25,418","25,093","23,365","20,461","23,299",n/a,"21,302","21,040","21,030","21,204","19,424","20,938"
Abererch,Wales,Gwynedd - Gwynedd,Transport for Wales,No,,,52.89858847,-4.374176474,,"2,040",396,0,"2,148","2,228","2,506","2,140","1,984",326,"1,380","1,214","1,786","1,620","1,326","1,258","1,261","1,095","1,027","1,038",n/a,498,473,735,516,426,513
Abergavenny,Wales,Sir Fynwy - Monmouthshire,Transport for Wales,No,,,51.81669304,-3.0096473,,"359,524","283,944","102,016","415,250","433,334","437,014","425,830","435,478","425,054","389,762","379,396","371,462","357,326","344,486","315,986","309,871","291,877","284,317","279,080",n/a,"265,131","255,005","253,782","257,341","235,702","236,640"
Abergele & Pensarn,Wales,Conwy - Conwy,Transport for Wales,No,,,53.29457716,-3.582622688,,"81,982","58,556","18,954","76,000","73,640","70,112","68,632","70,932","73,642","81,152","81,476","84,488","76,650","71,110","70,296","64,015","62,799","58,243","59,504",n/a,"59,422","70,387","72,107","79,777","74,439","75,835"
Aberystwyth,Wales,Sir Ceredigion - Ceredigion,Transport for Wales,No,,,52.41404989,-4.081894427,,"241,566","171,262","41,430","278,880","309,420","335,422","327,334","321,758","303,738","307,382","322,562","326,274","310,870","299,770","273,410","269,070","257,127","254,499","241,351",n/a,"218,498","211,239","203,326","213,891","198,030","186,024"
Accrington,England,Lancashire,Northern,No,,,53.75297338,-2.369548102,,"459,616","385,604","119,210","465,758","422,806","459,408","460,472","433,618","382,678","369,726","363,546","345,666","313,382","279,442","275,652","259,944","236,668","224,452","216,059",n/a,"179,836","195,302","210,698","205,432","186,631","188,245"
Achanalt,Scotland,Highland,ScotRail,No,,,57.60960187,-4.913852563,,282,342,26,326,394,434,424,312,482,228,164,162,200,202,230,208,173,198,192,n/a,186,163,173,278,298,336
Achnasheen,Scotland,Highland,ScotRail,No,,,57.57929592,-5.072333529,,"3,302","2,420",620,"3,234","3,284","3,310","3,076","3,700","3,722","3,972","3,566","3,998","3,698","3,614","3,202","2,974","2,697","2,471","2,379",n/a,"2,147","2,598","2,319","2,214","2,124","2,580"
Achnashellach,Scotland,Highland,ScotRail,No,,,57.4820809,-5.333056788,,752,650,130,836,820,870,878,"1,078",800,976,"1,054","1,084",738,778,646,655,540,593,691,n/a,664,586,481,525,734,822
Acklington,England,Northumberland,Northern,No,,,55.30709932,-1.651834796,,434,324,66,246,320,372,204,296,206,176,184,192,108,268,778,948,985,"1,137",917,n/a,727,471,"2,011","1,596","1,452",979
Acle,England,Norfolk,Greater Anglia,No,,,52.63467776,1.543914976,,"40,672","33,642","8,478","41,618","45,336","44,914","47,714","48,660","48,076","50,282","52,356","52,596","48,170","45,482","50,764","53,214","33,522","31,949","32,504",n/a,"36,454","53,588","56,231","51,204","44,022","42,298"
Acocks Green,England,West Midlands,West Midlands Railway,No,,,52.44932407,-1.818975622,,"304,906","271,554","138,884","551,230","541,810","497,834","468,256","450,122","427,480","415,420","388,592","372,326","381,938","384,260","383,698","161,363","160,128","149,570","149,101",n/a,"127,571","136,131","130,246","132,752","138,999","131,566"
Acton Bridge,England,Cheshire,West Midlands Railway,No,,,53.26650976,-2.603126907,,"33,040","30,838","8,482","27,976","22,578","21,058","20,092","20,236","17,486","16,612","15,732","20,044","17,242","13,658","14,480","11,373","8,913","4,162","2,709",n/a,"4,607","3,473","4,181","6,562","5,916","7,196"
Acton Central,England,London (City Of),London Overground,No,,,51.50871501,-0.262970693,,"1,499,036","1,332,790","727,052","1,753,806","1,887,162","1,907,986","1,931,864","1,891,098","2,940,598","2,837,592","2,238,244","1,818,018","1,339,536","956,922","1,112,142","1,373,736","1,334,016","416,037","358,142",n/a,"700,862","644,984","615,291","598,042","523,270","160,334"
Acton Main Line,England,London (City Of),Elizabeth Line,No,,,51.51717888,-0.26675644,,"1,099,704","321,076","125,954","350,930","310,962","263,590","238,536","262,212","454,106","442,054","383,980","349,636","346,756","264,122","336,108","393,785","309,456","87,880","115,209",n/a,"358,208","350,323","377,214","351,137","335,330","101,396"
Adderley Park,England,West Midlands,West Midlands Railway,No,,,52.48308729,-1.855944637,,"120,046","74,256","42,226","114,200","115,726","86,436","82,404","73,254","59,240","61,388","54,378","53,086","31,048","29,614","30,060","20,395","19,507","28,784","26,543",n/a,"28,174","28,784","31,897","32,567","34,327","38,620"
Addiewell,Scotland,West Lothian,ScotRail,No,,,55.84341308,-3.606527122,,"14,566","11,226","1,762","17,242","17,640","19,616","20,502","23,346","22,214","21,070","23,268","24,200","22,868","25,738","15,012","13,459","10,460","10,157","8,919",n/a,"7,555","7,357","6,478","6,838","6,652","6,947"
Addlestone ,England,Surrey,South Western Railway,No,,,51.37304475,-0.484456797,,"271,684","239,190","96,206","391,634","431,860","429,944","429,204","423,444","406,790","381,748","371,196","365,758","378,412","391,926","402,728","387,906","286,262","238,419","213,203",n/a,"174,214","193,263","220,552","255,128","210,893","225,081"
Adisham,England,Kent,Southeastern,No,,,51.2411978,1.199089047,,"23,470","19,464","7,368","27,624","27,600","25,584","21,218","21,454","22,374","24,058","28,388","32,046","36,938","45,560","49,002","55,873","58,776","53,857","53,898",n/a,"49,241","49,431","49,469","58,001","55,698","44,479"
